src,alt
https://sece.ac.in/wp-content/uploads/2025/11/WhatsApp-Image-2025-11-12-at-14.25.18_54c2bf80-768x432.jpg,WhatsApp Image 2025-11-12 at 14.25
https://sece.ac.in/wp-content/uploads/2025/09/19sep-768x438.jpg,19sep
https://sece.ac.in/wp-content/uploads/2025/09/15sep-768x432.jpg,15sep
https://sece.ac.in/wp-content/uploads/2025/09/15-20sep-768x438.jpg,15-20sep
https://sece.ac.in/wp-content/uploads/2025/09/15-16september-768x432.jpg,15-16september
https://sece.ac.in/wp-content/uploads/2025/09/13september-768x432.jpg,13september
https://sece.ac.in/wp-content/uploads/2025/09/13sep-768x432.jpg,13sep
https://sece.ac.in/wp-content/uploads/2025/09/12september-768x432.jpg,12september
https://sece.ac.in/wp-content/uploads/2025/09/12sep-768x432.jpg,12sep
https://sece.ac.in/wp-content/uploads/2025/09/12-15sep-768x432.jpg,12-15sep
https://sece.ac.in/wp-content/uploads/2025/09/11sep-768x432.jpg,11sep
https://sece.ac.in/wp-content/uploads/2025/09/1115sep-768x432.jpg,11&15sep
https://sece.ac.in/wp-content/uploads/2025/09/9-10sep-768x432.jpg,9-10sep
https://sece.ac.in/wp-content/uploads/2025/09/8-13sep-768x432.jpg,8-13sep
https://sece.ac.in/wp-content/uploads/2025/09/4sep-768x432.jpg,4sep
https://sece.ac.in/wp-content/uploads/2025/09/26august-768x432.jpg,26august
https://sece.ac.in/wp-content/uploads/2025/09/25-29-august-768x432.jpg,25-29 august
https://sece.ac.in/wp-content/uploads/2025/09/25-26-august-768x432.jpg,25-26 august
https://sece.ac.in/wp-content/uploads/2025/09/18-22august-768x432.jpg,18-22august
https://sece.ac.in/wp-content/uploads/2025/09/15august-768x432.jpg,15august
https://sece.ac.in/wp-content/uploads/2025/09/14august-768x432.jpg,14august
https://sece.ac.in/wp-content/uploads/2025/09/4august-768x432.jpg,4august
https://sece.ac.in/wp-content/uploads/2025/09/4-6august-768x432.jpg,4-6august
https://sece.ac.in/wp-content/uploads/2025/09/31july-768x432.jpg,31july
https://sece.ac.in/wp-content/uploads/2025/09/29-31-july-768x432.jpg,29 - 31 july
https://sece.ac.in/wp-content/uploads/2025/09/28july-768x432.jpg,28july
https://sece.ac.in/wp-content/uploads/2025/09/28-30-july-768x432.jpg,28 - 30 july
https://sece.ac.in/wp-content/uploads/2025/09/26-july-768x432.jpg,26 july
https://sece.ac.in/wp-content/uploads/2025/09/24july-768x432.jpg,24july
https://sece.ac.in/wp-content/uploads/2025/09/17-july-768x432.jpg,17 july
https://sece.ac.in/wp-content/uploads/2025/09/7-11-july-768x432.jpg,7 - 11 july
https://sece.ac.in/wp-content/uploads/2025/09/2july-768x432.jpg,2july
https://sece.ac.in/wp-content/uploads/2025/09/2-19july-1-768x432.jpg,2-19july
https://sece.ac.in/wp-content/uploads/2025/09/2-18july-768x432.jpg,2-18july
https://sece.ac.in/wp-content/uploads/2025/09/2-19july-768x432.jpg,2 - 19july
https://sece.ac.in/wp-content/uploads/2025/09/2-18-july-768x432.jpg,2 - 18 july
https://sece.ac.in/wp-content/uploads/2025/09/02-19-july-2025-768x432.jpg,02 - 19 july 2025
https://sece.ac.in/wp-content/uploads/2025/09/02-19-July-768x432.jpg,02 - 19 July
https://sece.ac.in/wp-content/uploads/2025/09/02-18-July-768x432.jpg,02 - 18 July
https://sece.ac.in/wp-content/uploads/2025/09/POSTER-17-copy-768x432.jpg,POSTER 17 copy
https://sece.ac.in/wp-content/uploads/2025/09/30june-768x432.jpg,30june
https://sece.ac.in/wp-content/uploads/2025/09/18-27-june-768x432.jpg,18 - 27 june
https://sece.ac.in/wp-content/uploads/2025/09/16-21june-768x432.jpg,16 - 21june
https://sece.ac.in/wp-content/uploads/2025/09/13june-768x432.jpg,13june
https://sece.ac.in/wp-content/uploads/2025/09/6june-768x432.jpg,6june
https://sece.ac.in/wp-content/uploads/2025/09/3-4june-768x432.jpg,3 & 4june
https://sece.ac.in/wp-content/uploads/2025/09/2-6june-768x432.jpg,2 - 6june
https://sece.ac.in/wp-content/uploads/2025/09/30May-768x432.jpg,30May
https://sece.ac.in/wp-content/uploads/2025/09/2122may-768x432.jpg,21&22may
https://sece.ac.in/wp-content/uploads/2025/09/10may-768x432.jpg,10may
https://sece.ac.in/wp-content/uploads/2025/09/12to16may-768x432.jpg,12to16may
https://sece.ac.in/wp-content/uploads/2025/09/14-15may-768x432.jpg,14-15may
https://sece.ac.in/wp-content/uploads/2025/09/2021may-768x432.jpg,20&21may
https://sece.ac.in/wp-content/uploads/2025/09/1516may-768x432.jpg,15&16may
https://sece.ac.in/wp-content/uploads/2025/09/14-161may-768x432.jpg,14-16&1may
https://sece.ac.in/wp-content/uploads/2025/09/16may-768x432.jpg,16may
https://sece.ac.in/wp-content/uploads/2025/05/w_24May25AIML-768x432.jpg,w_24May25(AIML)
https://sece.ac.in/wp-content/uploads/2025/09/1415may-768x432.jpg,"14,15may"
https://sece.ac.in/wp-content/uploads/2025/05/w_15May25-768x432.jpg,w_15May25
https://sece.ac.in/wp-content/uploads/2025/05/12to14May2025CSE_NEW-768x432.jpg,12to14May2025(CSE_NEW)
https://sece.ac.in/wp-content/uploads/2025/05/w_1213May25-768x432.jpg,w_12&13May25
https://sece.ac.in/wp-content/uploads/2025/05/1213May2025CSE-NEW-768x432.jpg,12&13May2025(CSE NEW)
https://sece.ac.in/wp-content/uploads/2025/05/may-_15-_expo-768x432.jpg,may _15 _expo
https://sece.ac.in/wp-content/uploads/2025/05/w_910May25-768x432.jpg,w_9&10May25
https://sece.ac.in/wp-content/uploads/2025/05/78May-768x432.jpg,7&8May
https://sece.ac.in/wp-content/uploads/2025/05/workshop-1-768x432.jpg,workshop
https://sece.ac.in/wp-content/uploads/2025/05/w_3rdMay25-768x432.jpg,w_3rdMay25
https://sece.ac.in/wp-content/uploads/2025/05/w_3May25-768x432.jpg,w_3May25
https://sece.ac.in/wp-content/uploads/2025/04/Nextgen-C-Innovation-throgh-STL-Concurrency-Beyond-768x432.webp,Nextgen C++ Innovation throgh STL Concurrency & Beyond
https://sece.ac.in/wp-content/uploads/2025/04/Gameathon-768x432.webp,Gameathon
https://sece.ac.in/wp-content/uploads/2025/04/Annual-Day-768x432.webp,Annual Day
https://sece.ac.in/wp-content/uploads/2025/04/Codelee-768x432.webp,Codelee
https://sece.ac.in/wp-content/uploads/2025/04/Ideathon-2025-1-768x432.webp,Ideathon 2025 (1)
https://sece.ac.in/wp-content/uploads/2025/04/Walk-Share-Motivate-768x432.webp,Walk Share Motivate
https://sece.ac.in/wp-content/uploads/2025/04/Workshop-on-Bug-Bounty-Pen-Testing-Uncovering-Vulnerabilities-like-a-Pro-768x432.webp,Workshop on Bug Bounty & Pen Testing Uncovering Vulnerabilities like a Pro
https://sece.ac.in/wp-content/uploads/2025/04/Github-and-Linkedin-for-Career-Advancement-768x432.webp,Github and Linkedin for Career Advancement
https://sece.ac.in/wp-content/uploads/2025/04/Workshop-on-Business-Model-Canvas-768x432.webp,Workshop on Business Model Canvas
https://sece.ac.in/wp-content/uploads/2025/04/Event-in-celebration-of-Mathematics-and-Statistics-Awareness-Month-768x432.webp,Event in celebration of Mathematics and Statistics Awareness Month
https://sece.ac.in/wp-content/uploads/2025/04/Women-Entrepreneurship-Development-Programme-768x432.jpg,Women Entrepreneurship Development Programme
https://sece.ac.in/wp-content/uploads/2025/04/Digital-Marketing-768x432.jpg,Digital Marketing
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/Group-61.png,
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/Group-61.png,
https://sece.ac.in/wp-content/uploads/2025/04/hostel_home6.webp,hostel_home6
https://sece.ac.in/wp-content/uploads/2024/06/hostel_home1.jpg,hostel_home1
https://sece.ac.in/wp-content/uploads/2025/04/hostel_home3.webp,hostel_home3
https://sece.ac.in/wp-content/uploads/2024/07/Cool-Night-Lighting-hostel-min-768x432.jpg,Cool Night Lighting-hostel-min
https://sece.ac.in/wp-content/uploads/2024/07/hostel_home-1.jpg,hostel_home (1)
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/Group-61.png,
https://sece.ac.in/wp-content/uploads/elementor/thumbs/alumini-groupshot-qqq5elpwpsfu6bs7j9n18qhceygtlssqd175fb95ty.webp,alumini groupshot
https://sece.ac.in/wp-content/uploads/2024/06/alumini_testimonial_5.png,alumini_testimonial_5
https://sece.ac.in/wp-content/uploads/2024/06/alumini_testimonial_2.png,alumini_testimonial_2
https://sece.ac.in/wp-content/uploads/2024/06/alumini_testimonial_3.png,alumini_testimonial_3
https://sece.ac.in/wp-content/uploads/2024/06/alumini_testimonial_4.png,alumini_testimonial_4
https://sece.ac.in/wp-content/uploads/2024/06/alumini_Mohammed.webp,alumini_Mohammed
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/Group-61.png,
https://sece.ac.in/wp-content/uploads/2025/04/World-Earth-Day-1024x1024.webp,World Earth Day
https://sece.ac.in/wp-content/uploads/2025/03/The-International-Day-of-Forests-1024x1024.webp,The International Day of Forests
https://sece.ac.in/wp-content/uploads/2025/04/National-Doctors-Day.webp,National Doctors Day
https://sece.ac.in/wp-content/uploads/2025/04/Mathematics-Statis-Awareness-Month.webp,Mathematics Statis Awareness Month
https://sece.ac.in/wp-content/uploads/2025/04/World-Cloud-Security-Day.webp,World Cloud Security Day
https://sece.ac.in/wp-content/uploads/2025/05/May-1-Poster-1024x1024.jpg,May 1 Poster
https://sece.ac.in/wp-content/uploads/2025/05/May-3-Poster-1024x1024.jpg,May 3 Poster
https://sece.ac.in/wp-content/uploads/2025/10/Gandhi-Jayanthi-_-Poster.jpg,Gandhi Jayanthi _ Poster
https://sece.ac.in/wp-content/uploads/2025/10/World-Smile-Day-_-Poster.jpg,World Smile Day _ Poster
https://sece.ac.in/wp-content/uploads/2025/10/techies-day-2-1024x1024.webp,techies day
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/Group-61.png,
https://sece.ac.in/wp-content/uploads/2024/05/Group-32-1.png,
https://sece.ac.in/wp-content/plugins/wpforms/assets/images/submit-spin.svg,Loading
